 Ano, Código da IES*,Nome da IES*, Sigla da IES*, Organização Acadêmica*, Categoria Administrativa, Sigla da UF, Nº de Cursos com CPC no triênio, Alfa (Proporção de Graduação), Conceito Médio de Graduação, Beta (Proporção de Mestrado - Equivalente), Conceito Médio de Mestrado, Gama (Proporção de Doutorandos – Equivalente), Conceito Médio do doutorado, IGC (Contínuo), IGC (Faixa),TX_OBS
2021,1249.0,FACULDADE DE EDUCAÇÃO DE COSTA RICA,FECRA,Faculdade,Privada sem fins lucrativos,MS,2.0,1.0,1.965,0.0,0.0,0.0,0.0,1.965,3,
2021,1252.0,FACULDADE PROMOVE DE MINAS GERAIS,PROMOVE,Faculdade,Privada com fins lucrativos,MG,3.0,1.0,3.383,0.0,0.0,0.0,0.0,3.383,4,
2021,1253.0,FACULDADE METODISTA GRANBERY,FMG,Faculdade,Privada sem fins lucrativos,MG,5.0,1.0,2.746,0.0,0.0,0.0,0.0,2.746,3,
2021,1254.0,FACULDADE DE ADMINISTRAÇÃO DE ITABIRITO,FAI,Faculdade,Privada sem fins lucrativos,MG,1.0,1.0,2.245,0.0,0.0,0.0,0.0,2.245,3,
2021,1255.0,Centro Universitário FBV Wyden,UniFBV Wyden,Centro Universitário,Privada com fins lucrativos,PE,33.0,0.983,2.93,0.016,4.0,0.0,0.0,2.947,4,
2021,1256.0,FACULDADE DOM BOSCO,DOM BOSCO,Faculdade,Privada sem fins lucrativos,PR,4.0,1.0,3.043,0.0,0.0,0.0,0.0,3.043,4,
2021,1257.0,"FACULDADE DE ADMINISTRAÇÃO, CIÊNCIAS, EDUCAÇÃO E LETRAS",FACEL,Faculdade,Privada sem fins lucrativos,PR,4.0,1.0,1.645,0.0,0.0,0.0,0.0,1.645,2,
2021,1258.0,FACULDADE DE CASCAVEL,,Faculdade,Privada com fins lucrativos,PR,10.0,1.0,2.177,0.0,0.0,0.0,0.0,2.177,3,
2021,1263.0,FACULDADE BEZERRA DE ARAÚJO,FABA,Faculdade,Privada com fins lucrativos,RJ,4.0,1.0,1.676,0.0,0.0,0.0,0.0,1.676,2,
2021,1264.0,CENTRO UNIVERSITÁRIO DO RIO GRANDE DO NORTE,UNI-RN,Centro Universitário,Privada sem fins lucrativos,RN,9.0,1.0,3.668,0.0,0.0,0.0,0.0,3.668,4,
2021,1266.0,FACULDADES INTEGRADAS URUBUPUNGÁ,FIU,Faculdade,Privada sem fins lucrativos,SP,4.0,1.0,2.656,0.0,0.0,0.0,0.0,2.656,3,
2021,1267.0,INSTITUTO DE ENSINO SUPERIOR DA GRANDE FLORIANÓPOLIS,IESGF,Faculdade,Privada com fins lucrativos,SC,9.0,1.0,2.371,0.0,0.0,0.0,0.0,2.371,3,
2021,1270.0,CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO,ESTÁCIO RIBEIRÃO PRE,Centro Universitário,Privada com fins lucrativos,SP,46.0,1.0,2.606,0.0,0.0,0.0,0.0,2.606,3,
2021,1273.0,Centro Universitário Campo Limpo Paulista,UNIFACCAMP,Centro Universitário,Privada com fins lucrativos,SP,33.0,0.968,2.11,0.027,4.239,0.004,4.5,2.179,3,
2021,1275.0,FACULDADE DO GUARUJÁ,FAGU,Faculdade,Privada com fins lucrativos,SP,3.0,1.0,2.024,0.0,0.0,0.0,0.0,2.024,3,
2021,1276.0,INSTITUTO TAUBATÉ DE ENSINO SUPERIOR,I.T.E.S.,Faculdade,Privada com fins lucrativos,SP,7.0,1.0,2.711,0.0,0.0,0.0,0.0,2.711,3,
2021,1279.0,FACULDADE DE ITÁPOLIS - FACITA,FACITA,Faculdade,Privada com fins lucrativos,SP,2.0,1.0,2.304,0.0,0.0,0.0,0.0,2.304,3,
2021,1281.0,FACULDADE DE CIÊNCIAS SOCIAIS E AGRÁRIAS DE ITAPEVA,FAIT,Faculdade,Privada com fins lucrativos,SP,13.0,1.0,2.724,0.0,0.0,0.0,0.0,2.724,3,
2021,1290.0,Faculdade Álvares de Azevedo,FAATESP,Faculdade,Privada com fins lucrativos,SP,1.0,1.0,1.851,0.0,0.0,0.0,0.0,1.851,2,
2021,1291.0,FACULDADE DE SANTO ANTONIO DA PLATINA,,Faculdade,Privada com fins lucrativos,PR,3.0,1.0,2.494,0.0,0.0,0.0,0.0,2.494,3,
2021,1292.0,Centro Universitário de Adamantina,FAI,Centro Universitário,Pública Municipal,SP,23.0,1.0,2.162,0.0,0.0,0.0,0.0,2.162,3,
2021,1294.0,Centro Universitário das Américas,CAM,Centro Universitário,Privada com fins lucrativos,SP,48.0,1.0,2.704,0.0,0.0,0.0,0.0,2.704,3,
2021,1295.0,FACULDADE DE EDUCAÇÃO E TECNOLOGIA IRACEMA,,Faculdade,Privada com fins lucrativos,SP,5.0,1.0,1.889,0.0,0.0,0.0,0.0,1.889,2,
2021,1296.0,ESCOLA SUPERIOR DE MARKETING,ESM,Faculdade,Privada sem fins lucrativos,PE,2.0,1.0,1.453,0.0,0.0,0.0,0.0,1.453,2,
2021,1298.0,Faculdade Estácio de Alagoas - Estácio FAL,ESTÁCIO FAL,Faculdade,Privada com fins lucrativos,AL,12.0,1.0,2.423,0.0,0.0,0.0,0.0,2.423,3,
2021,1299.0,FACULDADES INTEGRADAS DE FERNANDÓPOLIS,FIFE,Faculdade,Privada sem fins lucrativos,SP,22.0,1.0,2.627,0.0,0.0,0.0,0.0,2.627,3,
2021,1300.0,INSTITUTO TAQUARITINGUENSE DE ENSINO SUPERIOR DR. ARISTIDES DE CARVALHO SCHLOBACH,ITES,Faculdade,Privada sem fins lucrativos,SP,5.0,1.0,2.387,0.0,0.0,0.0,0.0,2.387,3,
2021,1301.0,INSTITUTO MATONENSE MUNICIPAL DE ENSINO SUPERIOR,IMMES,Faculdade,Privada sem fins lucrativos,SP,2.0,1.0,2.796,0.0,0.0,0.0,0.0,2.796,3,
2021,1302.0,FACULDADE BATISTA BRASILEIRA,FBB,Faculdade,Privada sem fins lucrativos,BA,6.0,1.0,2.807,0.0,0.0,0.0,0.0,2.807,3,
2021,1303.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",IF Goiano,"Instituto Federal de Educação, Ciência e Tecnologia",Pública Federal,GO,29.0,0.793,2.991,0.146,4.088,0.06,5.0,3.274,4,
2021,1304.0,FACULDADE DE RIBEIRÃO PIRES,,Faculdade,Privada sem fins lucrativos,SP,2.0,1.0,2.977,0.0,0.0,0.0,0.0,2.977,4,
2021,1305.0,"FACULDADE DE CIÊNCIAS JURÍDICAS, GERENCIAIS E EDUCAÇÃO DE SINOP",,Faculdade,Privada com fins lucrativos,MT,3.0,1.0,2.255,0.0,0.0,0.0,0.0,2.255,3,
2021,1307.0,FACULDADE DE ENSINO SUPERIOR E FORMAÇÃO INTEGRAL,FAEF,Faculdade,Privada com fins lucrativos,SP,8.0,1.0,2.871,0.0,0.0,0.0,0.0,2.871,3,
2021,1308.0,FACULDADE NOVO MILÊNIO,FNM,Faculdade,Privada com fins lucrativos,ES,10.0,1.0,2.196,0.0,0.0,0.0,0.0,2.196,3,
2021,1309.0,Faculdade Projeção de Taguatinga Norte,FAPRO,Faculdade,Privada com fins lucrativos,DF,2.0,1.0,2.373,0.0,0.0,0.0,0.0,2.373,3,
2021,1310.0,FACULDADE DE AMERICANA,FAM,Faculdade,Privada sem fins lucrativos,SP,21.0,1.0,2.398,0.0,0.0,0.0,0.0,2.398,3,
2021,1311.0,TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS,TREVISAN,Faculdade,Privada com fins lucrativos,SP,1.0,1.0,3.792,0.0,0.0,0.0,0.0,3.792,4,
2021,1312.0,FACULDADES INTEGRADAS DE RONDONÓPOLIS,FAIR,Faculdade,Privada com fins lucrativos,MT,3.0,1.0,2.733,0.0,0.0,0.0,0.0,2.733,3,
2021,1313.0,FACULDADE DE SUZANO,UNISUZ,Faculdade,Privada sem fins lucrativos,SP,6.0,1.0,2.609,0.0,0.0,0.0,0.0,2.609,3,
2021,1317.0,Centro Universitário Sudoeste Paulista,UniFSP,Centro Universitário,Privada com fins lucrativos,SP,20.0,1.0,3.33,0.0,0.0,0.0,0.0,3.33,4,
2021,1318.0,FACULDADE UNINASSAU VITÓRIA DA CONQUISTA,,Faculdade,Privada com fins lucrativos,BA,4.0,1.0,2.555,0.0,0.0,0.0,0.0,2.555,3,
2021,1319.0,FACULDADE TECSOMA,FATEC,Faculdade,Privada com fins lucrativos,MG,6.0,1.0,3.121,0.0,0.0,0.0,0.0,3.121,4,
2021,1322.0,FACULDADE EDUVALE DE AVARÉ,EDUVALE,Faculdade,Privada sem fins lucrativos,SP,10.0,1.0,2.664,0.0,0.0,0.0,0.0,2.664,3,
2021,1325.0,FACULDADE DE APUCARANA,FAP,Faculdade,Privada sem fins lucrativos,PR,8.0,1.0,2.314,0.0,0.0,0.0,0.0,2.314,3,
2021,1326.0,Faculdade Multivix Serra,MULTIVIX SERRA,Faculdade,Privada com fins lucrativos,ES,10.0,1.0,3.587,0.0,0.0,0.0,0.0,3.587,4,
2021,1327.0,ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DE PORTO ALEGRE,ESPM - POA,Faculdade,Privada sem fins lucrativos,RS,5.0,1.0,3.352,0.0,0.0,0.0,0.0,3.352,4,
2021,1328.0,FACULDADE DE COMUNICAÇÃO E TURISMO DE OLINDA,FACOTTUR,Faculdade,Privada sem fins lucrativos,PE,11.0,1.0,2.003,0.0,0.0,0.0,0.0,2.003,3,
2021,1334.0,CENTRO UNIVERSITÁRIO FACISA,UNIFACISA,Centro Universitário,Privada com fins lucrativos,PB,10.0,1.0,3.109,0.0,0.0,0.0,0.0,3.109,4,
2021,1336.0,CENTRO UNIVERSITÁRIO ASSIS GURGACZ,FAG,Centro Universitário,Privada sem fins lucrativos,PR,31.0,1.0,2.76,0.0,0.0,0.0,0.0,2.76,3,
2021,1337.0,FACULDADE MATER DEI,FMD,Faculdade,Privada com fins lucrativos,PR,8.0,1.0,2.552,0.0,0.0,0.0,0.0,2.552,3,
2021,1344.0,FACULDADE BORGES DE MENDONÇA,FBM,Faculdade,Privada com fins lucrativos,SC,2.0,1.0,2.361,0.0,0.0,0.0,0.0,2.361,3,
2021,1345.0,FACULDADE ANHANGUERA DE OSASCO,,Faculdade,Privada com fins lucrativos,SP,7.0,1.0,2.174,0.0,0.0,0.0,0.0,2.174,3,
2021,1346.0,FACULDADE BATISTA DE MINAS GERAIS,FBMG,Faculdade,Privada com fins lucrativos,MG,4.0,1.0,2.242,0.0,0.0,0.0,0.0,2.242,3,
